phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
-1.997922734151091e-06,4.256143993134923e-10,1.375432918844805e-13,2.4084217950990948e-14,8.98923763355017e-28,1.5255046661729307e-19,1.0210876215589794e-27,5.0
2.633788008649514e-06,7.343197329177122e-12,6.61095822448142e-15,3.1866615491766557e-15,1.338727433845587e-29,4.125255288696485e-21,2.101036518281158e-30,6.0
2.9633486968269575e-06,9.557657472817757e-12,6.459619072231239e-15,5.948398008179039e-15,4.427432678578374e-29,6.4283759280461526e-21,7.26331584294747e-30,6.0
2.2390993432146468e-06,1.9868856477611905e-11,9.00566905437651e-16,1.2440916046108184e-15,2.2305782253489815e-30,3.555781797115363e-21,-5.189199450089905e-31,6.0
1.6772237355702175e-06,8.10219916022981e-12,3.5675229443480675e-15,1.5910241514178947e-15,4.2957084871174086e-30,3.130046161920686e-21,-2.65128156816188e-30,6.0
6.534237373086409e-06,5.231332242023375e-11,3.152171853314698e-14,1.436937401075622e-14,3.2066459532726956e-28,7.508822411550404e-20,3.025855864658908e-29,6.0
4.423589287725225e-06,2.133644751260649e-11,3.6226052197009483e-14,2.01353178400051e-14,5.751290365346443e-28,8.042532345741767e-20,-3.853101873836814e-28,6.0
2.6030460248844544e-06,8.909916805006668e-12,5.056992805205546e-15,2.1697777772799567e-15,7.305937527050097e-30,3.539819435845182e-21,-2.62646241051445e-30,6.0
2.365915350363498e-06,5.84721428285345e-12,2.2042372825525123e-15,1.2860505063400431e-15,2.6625816193251558e-30,3.0558194205969626e-21,-1.0624640227312706e-30,6.0
1.7391772246440823e-06,6.94713114947483e-12,4.008547277226919e-15,4.0148792925609734e-15,1.9627699242641393e-29,7.497830629992333e-21,-6.769812093290257e-30,6.0
2.1315903162772462e-06,1.0632778166939437e-11,3.8948651403262494e-15,1.2962464916735003e-15,3.3822654238996635e-30,3.0706721189942706e-21,-1.8233767525934613e-30,6.0
-1.1866670803365957e-07,6.293001054407061e-12,1.958841420728377e-14,3.4133521918690092e-15,-3.998384256272382e-29,4.290982536749224e-21,1.7804727948898115e-29,7.0
3.6308411456870853e-06,3.083066021143794e-11,6.125470504199176e-14,2.504978402267705e-14,8.871673203446916e-28,1.0038028651808174e-19,-3.90623559831981e-29,7.0
1.9306076880006155e-06,5.5604516232130406e-11,2.2116793424630078e-14,1.8914294347244054e-14,5.579456038635154e-28,7.726391842248198e-20,1.8535318361368243e-28,7.0
1.090162529496565e-05,1.5933837101243086e-10,1.0852618697224689e-14,5.6289465000289917e-14,-1.9499858261525714e-27,-2.3665279420661844e-19,8.688899304627786e-27,7.0
2.234625134704937e-06,3.8725948647484354e-11,1.583583563306713e-14,6.969452525204054e-15,8.906923889384217e-29,2.5062686812087953e-20,-2.3481613090310984e-29,7.0
9.415931144691824e-07,5.853476415045552e-11,7.242909642998275e-15,5.901348258946936e-15,-4.4622990501065385e-29,1.8154844191680232e-20,8.565376893149654e-29,7.0
-1.3429273583648415e-08,1.2859191031672577e-11,1.6045112704504193e-15,9.988733665751775e-16,-2.0671546469852237e-30,2.7431211194884493e-22,-1.6520049017108923e-30,7.0
1.1031850028656236e-05,1.2209785188947957e-10,1.7757465133796765e-13,7.669697671389133e-14,9.500938645652805e-27,7.925805886520035e-19,-5.170953353321016e-27,7.0
2.4082699279992674e-06,1.117258367203024e-11,3.2116554538827656e-14,5.45944299452018e-15,1.1443138551302322e-29,1.6445963538094352e-21,3.757996197645707e-29,7.0
6.9834336909910005e-06,5.839767010736706e-11,4.930599370869407e-14,1.836724299217667e-14,5.91005483062652e-28,1.2286038048255546e-19,-2.2653638735852026e-28,7.0
4.2906501895921225e-06,6.413069096422697e-11,1.4840269018044897e-15,2.3744471420610296e-15,9.760786317626284e-30,1.2317475155417764e-20,-1.6972980486637726e-30,8.0
5.45965884462651e-06,4.014549345973738e-11,4.870873995173838e-15,4.2044800455416705e-16,6.277619758745704e-31,2.1598187327715525e-21,-3.6062136547235237e-31,8.0
2.2406863720471405e-06,5.6026127956814904e-11,1.3971610521732877e-15,3.5527242780738536e-17,-1.317889729664798e-32,1.2604062293632776e-22,5.24815019773028e-33,8.0
3.878271476937187e-06,1.7000385235846892e-11,3.7188750897054664e-15,1.7412330981332063e-16,1.4648445210076317e-31,6.1177634505176e-22,-7.015158769690503e-33,8.0
2.5579605782224442e-06,7.111836694196828e-11,2.150782019045372e-15,1.9734056676230337e-16,2.1784829010069758e-32,-2.2460220128033832e-23,-1.4549211035868665e-31,8.0
